schemaVersion,itemId,unitSemanticKind,unitLabel,unitDescription,nominalVolumeMilliLiters,packageTareGrams,tareDisposition,containerItemId,primaryMaterialId,derivationKind,beforeMassGrams,proposedAfterMassGrams,deltaGrams,haulClass,minimumUnitsFor6Kg,maximumUnitsFor11Kg,maxStack,massBalanceSourceId,reviewStatus,assetApplied
v27.mass.explicit-semantic.1,ammo:armor-piercing-cartridge,AmmunitionUnitOrPack,1 ammunition unit,"One authored projectile, cartridge, charge, flare, dart, or canister consumed as one ammunition unit; reusable weapon parts are not included.",0,0,None,,,RecipeMassBalance,150,150,0,Ordinary,40,73,120,mass:semantic-authority:ammo:armor-piercing-cartridge:v1,unit-reviewed-mass-provisional,false
v27.mass.explicit-semantic.1,ammo:arrow-bone,AmmunitionUnitOrPack,1 ammunition unit,"One authored projectile, cartridge, charge, flare, dart, or canister consumed as one ammunition unit; reusable weapon parts are not included.",0,0,None,,,RecipeMassBalance,80,80,0,Ordinary,75,137,100,mass:semantic-authority:ammo:arrow-bone:v1,unit-reviewed-mass-provisional,false
v27.mass.explicit-semantic.1,ammo:arrow-iron,AmmunitionUnitOrPack,1 ammunition unit,"One authored projectile, cartridge, charge, flare, dart, or canister consumed as one ammunition unit; reusable weapon parts are not included.",0,0,None,,,RecipeMassBalance,90,90,0,Ordinary,67,122,100,mass:semantic-authority:ammo:arrow-iron:v1,unit-reviewed-mass-provisional,false
v27.mass.explicit-semantic.1,ammo:arrow-rune,AmmunitionUnitOrPack,1 ammunition unit,"One authored projectile, cartridge, charge, flare, dart, or canister consumed as one ammunition unit; reusable weapon parts are not included.",0,0,None,,,RecipeMassBalance,80,80,0,Ordinary,75,137,75,mass:semantic-authority:ammo:arrow-rune:v1,unit-reviewed-mass-provisional,false
v27.mass.explicit-semantic.1,ammo:arrow-steel,AmmunitionUnitOrPack,1 ammunition unit,"One authored projectile, cartridge, charge, flare, dart, or canister consumed as one ammunition unit; reusable weapon parts are not included.",0,0,None,,,RecipeMassBalance,85,85,0,Ordinary,71,129,100,mass:semantic-authority:ammo:arrow-steel:v1,unit-reviewed-mass-provisional,false
v27.mass.explicit-semantic.1,ammo:blacksteel-bolt,AmmunitionUnitOrPack,1 ammunition unit,"One authored projectile, cartridge, charge, flare, dart, or canister consumed as one ammunition unit; reusable weapon parts are not included.",0,0,None,,,RecipeMassBalance,150,150,0,Ordinary,40,73,120,mass:semantic-authority:ammo:blacksteel-bolt:v1,unit-reviewed-mass-provisional,false
v27.mass.explicit-semantic.1,ammo:blasting-charge,AmmunitionUnitOrPack,1 ammunition unit,"One authored projectile, cartridge, charge, flare, dart, or canister consumed as one ammunition unit; reusable weapon parts are not included.",0,0,None,,,RecipeMassBalance,150,150,0,Ordinary,40,73,120,mass:semantic-authority:ammo:blasting-charge:v1,unit-reviewed-mass-provisional,false
v27.mass.explicit-semantic.1,ammo:bolt-bone,AmmunitionUnitOrPack,1 ammunition unit,"One authored projectile, cartridge, charge, flare, dart, or canister consumed as one ammunition unit; reusable weapon parts are not included.",0,0,None,,,RecipeMassBalance,100,100,0,Ordinary,60,110,100,mass:semantic-authority:ammo:bolt-bone:v1,unit-reviewed-mass-provisional,false
v27.mass.explicit-semantic.1,ammo:bolt-iron,AmmunitionUnitOrPack,1 ammunition unit,"One authored projectile, cartridge, charge, flare, dart, or canister consumed as one ammunition unit; reusable weapon parts are not included.",0,0,None,,,RecipeMassBalance,110,110,0,Ordinary,55,100,100,mass:semantic-authority:ammo:bolt-iron:v1,unit-reviewed-mass-provisional,false
v27.mass.explicit-semantic.1,ammo:bolt-rune,AmmunitionUnitOrPack,1 ammunition unit,"One authored projectile, cartridge, charge, flare, dart, or canister consumed as one ammunition unit; reusable weapon parts are not included.",0,0,None,,,RecipeMassBalance,100,100,0,Ordinary,60,110,75,mass:semantic-authority:ammo:bolt-rune:v1,unit-reviewed-mass-provisional,false
