record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,m_Name,seasonal_autumn-caravan-rush,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,stableId,seasonal:autumn-caravan-rush,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,displayName,겨울 전 대상행렬,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,description,대상단이 대량 계약을 제안해 생산과 객실을 동시에 점유한다.,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,authoringRevision,1,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,sourceNote,V20 hand-authored seasonal world event manifest.,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,season,2,Season,Autumn,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,minimumDurationDays,2,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,maximumDurationDays,4,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,worldWaterRegenerationMultiplier,1,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,affectedDomainIds.0,faction,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,affectedDomainIds.1,production,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,triggerRequirements.items,[],,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,triggerRequirements.facilities,[],,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,triggerRequirements.research,[],,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,triggerRequirements.characters,[],,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,triggerRequirements.factions,[],,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,triggerRequirements.worldMetrics,[],,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,triggerRequirements.requiredFlags,[],,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,triggerRequirements.excludedFlags,[],,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,startEffects.0.kind,9,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,startEffects.0.targetId,contract,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,startEffects.0.amount,180,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,startEffects.0.durationDays,4,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,dailyEffects,[],,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,endEffects.0.kind,12,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,endEffects.0.targetId,resolved:seasonal:autumn-caravan-rush,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,endEffects.0.amount,1,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,endEffects.0.durationDays,0,,,explicit-serialized
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,purpose,0,SeasonalSpecialExpeditionPurpose,None,implicit-csharp-default
SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,seasonal:autumn-caravan-rush,qualification,0,SeasonalWildlifeArrivalQualification,None,implicit-csharp-default
SeasonalWorldEventDefinitionSO|seasonal:autumn-early-frost,seasonal:autumn-early-frost,m_Name,seasonal_autumn-early-frost,,,explicit-serialized
